as_of_date,capital_component,amount_ghs,tier
2016-06-30,paid_up_capital,22000000.00,CET1
2016-06-30,statutory_reserves,8000000.00,CET1
2016-06-30,retained_earnings,6500000.00,CET1
2016-06-30,credit_risk_reserve,68738.57,CET1
2016-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2016-07-31,paid_up_capital,22000000.00,CET1
2016-07-31,statutory_reserves,8183311.43,CET1
2016-07-31,retained_earnings,6713863.34,CET1
2016-07-31,credit_risk_reserve,171841.67,CET1
2016-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2016-08-31,paid_up_capital,22000000.00,CET1
2016-08-31,statutory_reserves,8366622.86,CET1
2016-08-31,retained_earnings,6927726.68,CET1
2016-08-31,credit_risk_reserve,171834.64,CET1
2016-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2016-09-30,paid_up_capital,22000000.00,CET1
2016-09-30,statutory_reserves,8544021.02,CET1
2016-09-30,retained_earnings,7134691.20,CET1
2016-09-30,credit_risk_reserve,209115.82,CET1
2016-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2016-10-31,paid_up_capital,22000000.00,CET1
2016-10-31,statutory_reserves,8727332.46,CET1
2016-10-31,retained_earnings,7348554.53,CET1
2016-10-31,credit_risk_reserve,206710.22,CET1
2016-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2016-11-30,paid_up_capital,22000000.00,CET1
2016-11-30,statutory_reserves,8904730.62,CET1
2016-11-30,retained_earnings,7555519.05,CET1
2016-11-30,credit_risk_reserve,208664.85,CET1
2016-11-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2016-12-31,paid_up_capital,22000000.00,CET1
2016-12-31,statutory_reserves,9088042.05,CET1
2016-12-31,retained_earnings,7769382.39,CET1
2016-12-31,credit_risk_reserve,282174.92,CET1
2016-12-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-01-31,paid_up_capital,22000000.00,CET1
2017-01-31,statutory_reserves,9271353.48,CET1
2017-01-31,retained_earnings,7983245.73,CET1
2017-01-31,credit_risk_reserve,463179.82,CET1
2017-01-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-02-28,paid_up_capital,22000000.00,CET1
2017-02-28,statutory_reserves,9436925.10,CET1
2017-02-28,retained_earnings,8176412.61,CET1
2017-02-28,credit_risk_reserve,467999.75,CET1
2017-02-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-03-31,paid_up_capital,22000000.00,CET1
2017-03-31,statutory_reserves,9620236.53,CET1
2017-03-31,retained_earnings,8390275.95,CET1
2017-03-31,credit_risk_reserve,468801.98,CET1
2017-03-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-04-30,paid_up_capital,22000000.00,CET1
2017-04-30,statutory_reserves,9797634.69,CET1
2017-04-30,retained_earnings,8597240.47,CET1
2017-04-30,credit_risk_reserve,530601.15,CET1
2017-04-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-05-31,paid_up_capital,22000000.00,CET1
2017-05-31,statutory_reserves,9980946.12,CET1
2017-05-31,retained_earnings,8811103.81,CET1
2017-05-31,credit_risk_reserve,581938.80,CET1
2017-05-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-06-30,paid_up_capital,22000000.00,CET1
2017-06-30,statutory_reserves,10158344.28,CET1
2017-06-30,retained_earnings,9018068.33,CET1
2017-06-30,credit_risk_reserve,567830.39,CET1
2017-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-07-31,paid_up_capital,22000000.00,CET1
2017-07-31,statutory_reserves,10341655.72,CET1
2017-07-31,retained_earnings,9231931.67,CET1
2017-07-31,credit_risk_reserve,795166.34,CET1
2017-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-08-31,paid_up_capital,22000000.00,CET1
2017-08-31,statutory_reserves,10524967.15,CET1
2017-08-31,retained_earnings,9445795.01,CET1
2017-08-31,credit_risk_reserve,768892.56,CET1
2017-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-09-30,paid_up_capital,22000000.00,CET1
2017-09-30,statutory_reserves,10702365.31,CET1
2017-09-30,retained_earnings,9652759.53,CET1
2017-09-30,credit_risk_reserve,809427.60,CET1
2017-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-10-31,paid_up_capital,22000000.00,CET1
2017-10-31,statutory_reserves,10885676.74,CET1
2017-10-31,retained_earnings,9866622.86,CET1
2017-10-31,credit_risk_reserve,812286.57,CET1
2017-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-11-30,paid_up_capital,22000000.00,CET1
2017-11-30,statutory_reserves,11063074.90,CET1
2017-11-30,retained_earnings,10073587.39,CET1
2017-11-30,credit_risk_reserve,846408.60,CET1
2017-11-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2017-12-31,paid_up_capital,22000000.00,CET1
2017-12-31,statutory_reserves,11246386.33,CET1
2017-12-31,retained_earnings,10287450.72,CET1
2017-12-31,credit_risk_reserve,846029.97,CET1
2017-12-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-01-31,paid_up_capital,22000000.00,CET1
2018-01-31,statutory_reserves,11429697.77,CET1
2018-01-31,retained_earnings,10501314.06,CET1
2018-01-31,credit_risk_reserve,959533.35,CET1
2018-01-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-02-28,paid_up_capital,22000000.00,CET1
2018-02-28,statutory_reserves,11595269.38,CET1
2018-02-28,retained_earnings,10694480.95,CET1
2018-02-28,credit_risk_reserve,1007337.99,CET1
2018-02-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-03-31,paid_up_capital,22000000.00,CET1
2018-03-31,statutory_reserves,11778580.81,CET1
2018-03-31,retained_earnings,10908344.28,CET1
2018-03-31,credit_risk_reserve,1052655.54,CET1
2018-03-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-04-30,paid_up_capital,22000000.00,CET1
2018-04-30,statutory_reserves,11955978.98,CET1
2018-04-30,retained_earnings,11115308.80,CET1
2018-04-30,credit_risk_reserve,1069604.27,CET1
2018-04-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-05-31,paid_up_capital,22000000.00,CET1
2018-05-31,statutory_reserves,12139290.41,CET1
2018-05-31,retained_earnings,11329172.14,CET1
2018-05-31,credit_risk_reserve,1077839.55,CET1
2018-05-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-06-30,paid_up_capital,22000000.00,CET1
2018-06-30,statutory_reserves,12316688.57,CET1
2018-06-30,retained_earnings,11536136.66,CET1
2018-06-30,credit_risk_reserve,1080481.13,CET1
2018-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-07-31,paid_up_capital,22000000.00,CET1
2018-07-31,statutory_reserves,12500000.00,CET1
2018-07-31,retained_earnings,11750000.00,CET1
2018-07-31,credit_risk_reserve,1127828.05,CET1
