date,deposit_inflow_ghs,deposit_outflow_ghs,net_cashflow_ghs
2016-08-31,10084296.58,7890331.61,2193964.97
2016-09-01,5683211.46,6498601.02,-815389.56
2016-09-02,6377486.58,7184642.05,-807155.47
2016-09-03,6124612.45,7010379.62,-885767.16
2016-09-05,10908674.88,8823664.39,2085010.49
2016-09-06,9800928.96,7706348.37,2094580.58
2016-09-07,6107765.77,6954483.74,-846717.97
2016-09-08,5905391.08,6662774.95,-757383.87
2016-09-09,10840979.35,8817971.85,2023007.50
2016-09-10,9845442.65,7683825.80,2161616.85
2016-09-12,6113438.83,6896763.13,-783324.30
2016-09-13,7220462.19,8162762.57,-942300.39
2016-09-14,5289812.43,5999641.17,-709828.74
2016-09-15,9460220.26,7606531.58,1853688.68
2016-09-16,10652353.79,8402591.73,2249762.07
2016-09-17,7303382.40,8297884.27,-994501.87
2016-09-19,9422846.15,7539308.03,1883538.12
2016-09-20,10670194.49,8441970.46,2228224.03
2016-09-21,7035537.81,8020560.14,-985022.33
2016-09-22,5004326.71,5652825.97,-648499.25
2016-09-23,6549691.94,7434296.79,-884604.85
2016-09-24,5479718.78,6207807.01,-728088.22
2016-09-26,11483961.55,9127180.50,2356781.05
2016-09-27,6573769.45,7503146.64,-929377.19
2016-09-28,5434442.05,6112582.02,-678139.97
2016-09-29,9110894.84,7269685.54,1841209.30
2016-09-30,11575001.84,9232427.40,2342574.44
2016-10-01,6833537.57,7800265.62,-966728.04
2016-10-03,6152132.74,6938026.81,-785894.07
2016-10-04,6322268.07,7181386.26,-859118.19
2016-10-05,9503228.01,7402902.32,2100325.69
2016-10-06,10628714.62,8619952.52,2008762.10
2016-10-07,6115331.52,6857911.11,-742579.59
2016-10-08,6350127.24,7264318.81,-914191.58
2016-10-10,10528405.49,8504299.94,2024105.54
2016-10-11,5861439.33,6592741.79,-731302.45
2016-10-12,6158624.48,7067765.47,-909140.98
2016-10-13,6415460.54,7224852.19,-809391.65
2016-10-14,5641210.80,6438164.97,-796954.17
2016-10-15,10367425.79,8149527.07,2217898.72
2016-10-17,6321383.03,7081693.07,-760310.04
2016-10-18,5723989.85,6578400.08,-854410.23
2016-10-19,10388830.64,8202993.86,2185836.78
2016-10-20,10276419.41,8284905.29,1991514.12
2016-10-21,6587253.21,7381755.03,-794501.81
2016-10-22,5911516.69,6796801.69,-885285.01
2016-10-24,6799496.97,7742041.74,-942544.77
2016-10-25,11212266.95,8929178.52,2283088.44
2016-10-26,8923392.70,7096066.71,1827325.99
2016-10-27,5682316.76,6423515.98,-741199.22
2016-10-28,6786290.41,7698566.03,-912275.62
2016-10-29,11264126.01,8920873.09,2343252.92
