as_of_date,source_reference,account_code,name,account_class,currency,balance
2016-08-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,8551282.58
2016-08-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,18444124.40
2016-08-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,40807566.25
2016-08-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,176238804.52
2016-08-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-1052586.34
2016-08-31,GL-1900,GL-1900,Other assets,ASSET,GHS,8726979.35
2016-08-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,208947738.60
2016-08-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6268432.16
2016-08-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2016-08-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,8000000.00
2016-08-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,6500000.00
2016-09-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,8966423.00
2016-09-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,19261246.63
2016-09-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,42772703.22
2016-09-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,177588827.33
2016-09-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-1070226.60
2016-09-30,GL-1900,GL-1900,Other assets,ASSET,GHS,16335450.71
2016-09-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,220359283.12
2016-09-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6610778.49
2016-09-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2016-09-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,8177398.16
2016-09-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,6706964.52
2016-10-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,8457950.60
2016-10-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,19926512.35
2016-10-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,40305805.08
2016-10-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,177945844.42
2016-10-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-1431530.30
2016-10-31,GL-1900,GL-1900,Other assets,ASSET,GHS,14651540.12
2016-10-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,216091829.93
2016-10-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6482754.90
2016-10-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2016-10-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,8360709.59
2016-10-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,6920827.86
2016-11-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,8767976.81
2016-11-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,19487952.23
2016-11-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,41828821.49
2016-11-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,179831724.70
2016-11-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-1391705.12
2016-11-30,GL-1900,GL-1900,Other assets,ASSET,GHS,13038286.95
2016-11-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,217375880.53
2016-11-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6521276.42
2016-11-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2016-11-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,8538107.75
2016-11-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,7127792.38
2016-12-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,8715061.93
2016-12-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,20521974.06
2016-12-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,41202163.50
2016-12-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,180849705.68
2016-12-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-1455301.99
2016-12-31,GL-1900,GL-1900,Other assets,ASSET,GHS,16549693.49
2016-12-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,221670118.22
2016-12-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6650103.55
2016-12-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2016-12-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,8721419.19
2016-12-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,7341655.72
2017-01-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,8706781.42
2017-01-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,20473997.42
2017-01-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,41551873.18
2017-01-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,182648791.64
2017-01-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-1865087.83
2017-01-31,GL-1900,GL-1900,Other assets,ASSET,GHS,15684733.49
2017-01-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,222078485.11
2017-01-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6662354.55
2017-01-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-01-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,8904730.62
2017-01-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,7555519.05
2017-02-28,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9031717.91
2017-02-28,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,20004690.86
2017-02-28,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,42777262.98
2017-02-28,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,184025384.23
2017-02-28,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-2982584.31
2017-02-28,GL-1900,GL-1900,Other assets,ASSET,GHS,15353064.42
2017-02-28,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,222709269.82
2017-02-28,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6681278.09
2017-02-28,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-02-28,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,9070302.23
2017-02-28,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,7748685.94
2017-03-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9042138.18
2017-03-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,21261215.01
2017-03-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,42832121.17
2017-03-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,188405758.42
2017-03-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-3227034.33
2017-03-31,GL-1900,GL-1900,Other assets,ASSET,GHS,19519880.64
2017-03-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,231667879.75
2017-03-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6950036.39
