period_end,net_interest_income_ghs,non_interest_income_ghs,operating_expenses_ghs,provisions_ghs,net_income_ghs
2016-08-31,2338429.87,99314.07,1530360.10,0.00,907383.84
2016-09-30,2456406.13,113543.52,1568266.90,17640.26,984042.49
2016-10-31,1932819.64,90499.20,1104473.06,361303.69,557542.08
2016-11-30,1973198.30,116636.83,1255246.39,0.00,834588.74
2016-12-31,1943608.57,88864.95,1097603.70,63596.87,871272.95
2017-01-31,1989799.63,93244.36,1128998.39,409785.84,544259.76
2017-02-28,1983908.44,117902.36,1240571.30,1117496.48,-256256.98
2017-03-31,2192889.64,101500.24,1194060.26,244450.02,855879.60
2017-04-30,2402565.88,81874.62,1425926.69,0.00,1058513.82
2017-05-31,2066070.14,121206.67,1296114.45,387942.95,503219.41
2017-06-30,2412398.40,83671.84,1427611.28,194657.72,873801.24
2017-07-31,2536766.98,83901.69,1491769.48,7894.45,1121004.74
2017-08-31,2716350.85,117862.40,1708487.62,1425380.35,-299654.73
2017-09-30,2247511.06,135271.41,1384117.52,44755.19,953909.75
2017-10-31,2712305.17,124228.41,1730467.26,0.00,1106066.32
2017-11-30,2115010.35,127629.69,1332811.92,5022.40,904805.71
2017-12-31,2155676.36,134509.32,1369081.21,368255.77,552848.70
2018-01-31,2204790.30,99624.32,1230106.85,128781.30,945526.47
2018-02-28,2363998.01,140023.79,1446277.78,826100.31,231643.71
2018-03-31,2109389.61,133807.12,1333968.01,419370.70,489858.02
2018-04-30,2577424.12,90813.14,1524304.42,44006.76,1099926.08
2018-05-31,2585668.73,90752.65,1535665.56,143644.45,997111.38
2018-06-30,2811383.41,102961.42,1623211.06,103386.36,1187747.42
2018-07-31,2432351.73,147415.38,1485034.97,49565.09,1045167.04
2018-08-31,2850143.44,135407.78,1836854.44,46079.07,1102617.71
2018-09-30,2197476.82,144429.74,1379666.14,270043.30,692197.12
2018-10-31,2224995.75,147009.10,1420963.19,0.00,951041.67
2018-11-30,2728632.58,125819.99,1763207.74,883864.01,207380.82
2018-12-31,3016946.86,137952.04,1937623.58,381581.86,835693.47
2019-01-31,2560462.35,118744.36,1409651.59,178193.94,1091361.17
2019-02-28,3038447.54,135816.09,1925521.91,1153809.10,94932.62
2019-03-31,3019999.92,140679.82,1909728.81,161318.13,1089632.80
2019-04-30,2848428.78,129103.72,1846183.38,342110.94,789238.17
2019-05-31,3072008.10,142194.98,1943551.71,407050.06,863601.31
2019-06-30,2397940.70,155881.31,1530342.72,0.00,1023479.29
2019-07-31,2908820.34,135157.11,1881480.83,405681.70,756814.92
2019-08-31,2471812.08,120527.74,1405692.61,2963673.59,-1777026.38
