as_of_date,source_reference,position_type,currency,balance,counterparty_reference,product_code,gl_account_code,attributes.balance_ghs,attributes.branch_id
2016-06-30,CASH-VAULT,CASH,GHS,8308739.41,,CASH-VAULT,GL-1010,8308739.41,ACC-HQ
2016-06-30,CASH-BOG,CASH,GHS,18392704.09,CP-BOG,CASH-BOG,GL-1020,18392704.09,ACC-HQ
2016-07-31,CASH-VAULT,CASH,GHS,8486923.33,,CASH-VAULT,GL-1010,8486923.33,ACC-HQ
2016-07-31,CASH-BOG,CASH,GHS,18233586.89,CP-BOG,CASH-BOG,GL-1020,18233586.89,ACC-HQ
2016-08-31,CASH-VAULT,CASH,GHS,8771695.42,,CASH-VAULT,GL-1010,8771695.42,ACC-HQ
2016-08-31,CASH-BOG,CASH,GHS,19425136.52,CP-BOG,CASH-BOG,GL-1020,19425136.52,ACC-HQ
2016-09-30,CASH-VAULT,CASH,GHS,9021637.98,,CASH-VAULT,GL-1010,9021637.98,ACC-HQ
2016-09-30,CASH-BOG,CASH,GHS,19979409.36,CP-BOG,CASH-BOG,GL-1020,19979409.36,ACC-HQ
2016-10-31,CASH-VAULT,CASH,GHS,8582270.02,,CASH-VAULT,GL-1010,8582270.02,ACC-HQ
2016-10-31,CASH-BOG,CASH,GHS,18996260.98,CP-BOG,CASH-BOG,GL-1020,18996260.98,ACC-HQ
2016-11-30,CASH-VAULT,CASH,GHS,8708405.92,,CASH-VAULT,GL-1010,8708405.92,ACC-HQ
2016-11-30,CASH-BOG,CASH,GHS,19276242.65,CP-BOG,CASH-BOG,GL-1020,19276242.65,ACC-HQ
2016-12-31,CASH-VAULT,CASH,GHS,8823414.57,,CASH-VAULT,GL-1010,8823414.57,ACC-HQ
2016-12-31,CASH-BOG,CASH,GHS,19529880.55,CP-BOG,CASH-BOG,GL-1020,19529880.55,ACC-HQ
2017-01-31,CASH-VAULT,CASH,GHS,9174469.19,,CASH-VAULT,GL-1010,9174469.19,ACC-HQ
2017-01-31,CASH-BOG,CASH,GHS,20315898.31,CP-BOG,CASH-BOG,GL-1020,20315898.31,ACC-HQ
2017-02-28,CASH-VAULT,CASH,GHS,9047417.28,,CASH-VAULT,GL-1010,9047417.28,ACC-HQ
2017-02-28,CASH-BOG,CASH,GHS,20641670.73,CP-BOG,CASH-BOG,GL-1020,20641670.73,ACC-HQ
2017-03-31,CASH-VAULT,CASH,GHS,9377739.47,,CASH-VAULT,GL-1010,9377739.47,ACC-HQ
2017-03-31,CASH-BOG,CASH,GHS,20759844.04,CP-BOG,CASH-BOG,GL-1020,20759844.04,ACC-HQ
2017-04-30,CASH-VAULT,CASH,GHS,9524694.79,,CASH-VAULT,GL-1010,9524694.79,ACC-HQ
2017-04-30,CASH-BOG,CASH,GHS,21096526.18,CP-BOG,CASH-BOG,GL-1020,21096526.18,ACC-HQ
2017-05-31,CASH-VAULT,CASH,GHS,9259568.14,,CASH-VAULT,GL-1010,9259568.14,ACC-HQ
2017-05-31,CASH-BOG,CASH,GHS,20469535.11,CP-BOG,CASH-BOG,GL-1020,20469535.11,ACC-HQ
2017-06-30,CASH-VAULT,CASH,GHS,9549992.19,,CASH-VAULT,GL-1010,9549992.19,ACC-HQ
2017-06-30,CASH-BOG,CASH,GHS,21788129.22,CP-BOG,CASH-BOG,GL-1020,21788129.22,ACC-HQ
2017-07-31,CASH-VAULT,CASH,GHS,9413928.65,,CASH-VAULT,GL-1010,9413928.65,ACC-HQ
2017-07-31,CASH-BOG,CASH,GHS,20840145.72,CP-BOG,CASH-BOG,GL-1020,20840145.72,ACC-HQ
2017-08-31,CASH-VAULT,CASH,GHS,9703788.38,,CASH-VAULT,GL-1010,9703788.38,ACC-HQ
2017-08-31,CASH-BOG,CASH,GHS,20850551.09,CP-BOG,CASH-BOG,GL-1020,20850551.09,ACC-HQ
2017-09-30,CASH-VAULT,CASH,GHS,10060044.55,,CASH-VAULT,GL-1010,10060044.55,ACC-HQ
2017-09-30,CASH-BOG,CASH,GHS,21618474.35,CP-BOG,CASH-BOG,GL-1020,21618474.35,ACC-HQ
2017-10-31,CASH-VAULT,CASH,GHS,9901992.74,,CASH-VAULT,GL-1010,9901992.74,ACC-HQ
2017-10-31,CASH-BOG,CASH,GHS,21929980.56,CP-BOG,CASH-BOG,GL-1020,21929980.56,ACC-HQ
2017-11-30,CASH-VAULT,CASH,GHS,9960796.10,,CASH-VAULT,GL-1010,9960796.10,ACC-HQ
2017-11-30,CASH-BOG,CASH,GHS,22061052.96,CP-BOG,CASH-BOG,GL-1020,22061052.96,ACC-HQ
2017-12-31,CASH-VAULT,CASH,GHS,9724731.79,,CASH-VAULT,GL-1010,9724731.79,ACC-HQ
2017-12-31,CASH-BOG,CASH,GHS,21526870.74,CP-BOG,CASH-BOG,GL-1020,21526870.74,ACC-HQ
2018-01-31,CASH-VAULT,CASH,GHS,9833906.16,,CASH-VAULT,GL-1010,9833906.16,ACC-HQ
2018-01-31,CASH-BOG,CASH,GHS,21767503.69,CP-BOG,CASH-BOG,GL-1020,21767503.69,ACC-HQ
2018-02-28,CASH-VAULT,CASH,GHS,9689203.42,,CASH-VAULT,GL-1010,9689203.42,ACC-HQ
2018-02-28,CASH-BOG,CASH,GHS,22785566.20,CP-BOG,CASH-BOG,GL-1020,22785566.20,ACC-HQ
2018-03-31,CASH-VAULT,CASH,GHS,10058030.41,,CASH-VAULT,GL-1010,10058030.41,ACC-HQ
2018-03-31,CASH-BOG,CASH,GHS,23655938.09,CP-BOG,CASH-BOG,GL-1020,23655938.09,ACC-HQ
2018-04-30,CASH-VAULT,CASH,GHS,9978080.25,,CASH-VAULT,GL-1010,9978080.25,ACC-HQ
2018-04-30,CASH-BOG,CASH,GHS,23431913.03,CP-BOG,CASH-BOG,GL-1020,23431913.03,ACC-HQ
2018-05-31,CASH-VAULT,CASH,GHS,9977090.43,,CASH-VAULT,GL-1010,9977090.43,ACC-HQ
2018-05-31,CASH-BOG,CASH,GHS,22739163.28,CP-BOG,CASH-BOG,GL-1020,22739163.28,ACC-HQ
2018-06-30,CASH-VAULT,CASH,GHS,10385861.83,,CASH-VAULT,GL-1010,10385861.83,ACC-HQ
2018-06-30,CASH-BOG,CASH,GHS,24423264.02,CP-BOG,CASH-BOG,GL-1020,24423264.02,ACC-HQ
2018-07-31,CASH-VAULT,CASH,GHS,10600531.97,,CASH-VAULT,GL-1010,10600531.97,ACC-HQ
2018-07-31,CASH-BOG,CASH,GHS,24184013.00,CP-BOG,CASH-BOG,GL-1020,24184013.00,ACC-HQ
2018-08-31,CASH-VAULT,CASH,GHS,10650540.35,,CASH-VAULT,GL-1010,10650540.35,ACC-HQ
2018-08-31,CASH-BOG,CASH,GHS,23578750.59,CP-BOG,CASH-BOG,GL-1020,23578750.59,ACC-HQ
2018-09-30,CASH-VAULT,CASH,GHS,10917294.39,,CASH-VAULT,GL-1010,10917294.39,ACC-HQ
2018-09-30,CASH-BOG,CASH,GHS,24170271.18,CP-BOG,CASH-BOG,GL-1020,24170271.18,ACC-HQ
2018-10-31,CASH-VAULT,CASH,GHS,11059369.54,,CASH-VAULT,GL-1010,11059369.54,ACC-HQ
2018-10-31,CASH-BOG,CASH,GHS,23768913.98,CP-BOG,CASH-BOG,GL-1020,23768913.98,ACC-HQ
2018-11-30,CASH-VAULT,CASH,GHS,10555994.23,,CASH-VAULT,GL-1010,10555994.23,ACC-HQ
2018-11-30,CASH-BOG,CASH,GHS,24092940.37,CP-BOG,CASH-BOG,GL-1020,24092940.37,ACC-HQ
2018-12-31,CASH-VAULT,CASH,GHS,11315940.33,,CASH-VAULT,GL-1010,11315940.33,ACC-HQ
2018-12-31,CASH-BOG,CASH,GHS,25063461.06,CP-BOG,CASH-BOG,GL-1020,25063461.06,ACC-HQ
2019-01-31,CASH-VAULT,CASH,GHS,10968634.68,,CASH-VAULT,GL-1010,10968634.68,ACC-HQ
2019-01-31,CASH-BOG,CASH,GHS,25026078.16,CP-BOG,CASH-BOG,GL-1020,25026078.16,ACC-HQ
2019-02-28,CASH-VAULT,CASH,GHS,11215815.01,,CASH-VAULT,GL-1010,11215815.01,ACC-HQ
2019-02-28,CASH-BOG,CASH,GHS,24834512.19,CP-BOG,CASH-BOG,GL-1020,24834512.19,ACC-HQ
2019-03-31,CASH-VAULT,CASH,GHS,11125603.77,,CASH-VAULT,GL-1010,11125603.77,ACC-HQ
2019-03-31,CASH-BOG,CASH,GHS,25390847.57,CP-BOG,CASH-BOG,GL-1020,25390847.57,ACC-HQ
2019-04-30,CASH-VAULT,CASH,GHS,11373721.00,,CASH-VAULT,GL-1010,11373721.00,ACC-HQ
2019-04-30,CASH-BOG,CASH,GHS,25909659.34,CP-BOG,CASH-BOG,GL-1020,25909659.34,ACC-HQ
2019-05-31,CASH-VAULT,CASH,GHS,11060913.53,,CASH-VAULT,GL-1010,11060913.53,ACC-HQ
2019-05-31,CASH-BOG,CASH,GHS,26008702.65,CP-BOG,CASH-BOG,GL-1020,26008702.65,ACC-HQ
2019-06-30,CASH-VAULT,CASH,GHS,11392974.03,,CASH-VAULT,GL-1010,11392974.03,ACC-HQ
2019-06-30,CASH-BOG,CASH,GHS,25999759.80,CP-BOG,CASH-BOG,GL-1020,25999759.80,ACC-HQ
2019-07-31,CASH-VAULT,CASH,GHS,11188683.13,,CASH-VAULT,GL-1010,11188683.13,ACC-HQ
2019-07-31,CASH-BOG,CASH,GHS,26308015.63,CP-BOG,CASH-BOG,GL-1020,26308015.63,ACC-HQ
2019-08-31,CASH-VAULT,CASH,GHS,11249427.77,,CASH-VAULT,GL-1010,11249427.77,ACC-HQ
2019-08-31,CASH-BOG,CASH,GHS,25638224.51,CP-BOG,CASH-BOG,GL-1020,25638224.51,ACC-HQ
2019-09-30,CASH-VAULT,CASH,GHS,11897266.86,,CASH-VAULT,GL-1010,11897266.86,ACC-HQ
2019-09-30,CASH-BOG,CASH,GHS,27140464.11,CP-BOG,CASH-BOG,GL-1020,27140464.11,ACC-HQ
2019-10-31,CASH-VAULT,CASH,GHS,11719046.48,,CASH-VAULT,GL-1010,11719046.48,ACC-HQ
2019-10-31,CASH-BOG,CASH,GHS,25946445.80,CP-BOG,CASH-BOG,GL-1020,25946445.80,ACC-HQ
2019-11-30,CASH-VAULT,CASH,GHS,11860350.75,,CASH-VAULT,GL-1010,11860350.75,ACC-HQ
2019-11-30,CASH-BOG,CASH,GHS,26260337.75,CP-BOG,CASH-BOG,GL-1020,26260337.75,ACC-HQ
2019-12-31,CASH-VAULT,CASH,GHS,11594552.77,,CASH-VAULT,GL-1010,11594552.77,ACC-HQ
2019-12-31,CASH-BOG,CASH,GHS,26462294.52,CP-BOG,CASH-BOG,GL-1020,26462294.52,ACC-HQ
2020-01-31,CASH-VAULT,CASH,GHS,12238714.87,,CASH-VAULT,GL-1010,12238714.87,ACC-HQ
2020-01-31,CASH-BOG,CASH,GHS,27108427.28,CP-BOG,CASH-BOG,GL-1020,27108427.28,ACC-HQ
2020-02-29,CASH-VAULT,CASH,GHS,12152952.02,,CASH-VAULT,GL-1010,12152952.02,ACC-HQ
