source_reference,product_code,name,regulatory_category
DEP-SAV,DEP-SAV,Ordinary Savings,DEPOSIT_SAVINGS
DEP-CUR,DEP-CUR,Current Account,DEPOSIT_CURRENT
DEP-CALL,DEP-CALL,Call Deposit,DEPOSIT_CALL
DEP-FIX,DEP-FIX,Fixed / Time Deposit,DEPOSIT_TIME
DEP-SUSU,DEP-SUSU,Susu Collection,DEPOSIT_SAVINGS
LN-SME,LN-SME,SME Term Loan,LOAN_SME
LN-CONS,LN-CONS,Consumer Loan,LOAN_RETAIL
LN-SAL,LN-SAL,Salary-Backed Loan,LOAN_RETAIL
LN-MICRO,LN-MICRO,Group Microfinance,LOAN_RETAIL
LN-MORT,LN-MORT,Home Improvement / Mortgage,LOAN_MORTGAGE
SEC-TBILL,SEC-TBILL,GoG Treasury Bill,SOVEREIGN_TBILL
SEC-BOND,SEC-BOND,GoG Note / Bond,SOVEREIGN_BOND
CASH-VAULT,CASH-VAULT,Vault Cash,CASH
CASH-BOG,CASH-BOG,Balances with Bank of Ghana,CASH_CENTRAL_BANK
