# Sample Bank onboarding dataset — atm_operations, reporting month 2025-12 (push with as_of_date=2025-12-31).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2025-12-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,129,4370,20,2000,9694,4820660.68,4798824.34,8.5,
2025-12-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,75,4447,10,3000,9962,3179998.23,3150214.52,2.6,
2025-12-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,111,4956,50,2000,8490,4000100.96,3947169.30,11.5,
2025-12-31,ATM-004,Accra Mall,Greater Accra,BR003,179,4620,20,2000,7989,3309069.79,3307524.63,12.0,
2025-12-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,90,1903,10,2000,4074,1902138.68,1881621.87,12.7,
2025-12-31,ATM-006,Madina Market,Greater Accra,BR004,82,4640,20,3000,8675,2545139.22,2525575.97,4.2,
2025-12-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,146,4306,10,2000,9794,4520395.34,4508893.36,1.0,
2025-12-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,79,2355,10,2000,3734,1204966.31,1197246.66,13.0,
2025-12-31,ATM-009,Spintex Road,Greater Accra,BR007,66,2170,50,3000,4014,1589096.23,1568620.54,9.8,
2025-12-31,ATM-010,Tema Community 1,Greater Accra,BR008,108,4810,20,5000,8114,4189114.02,4146615.14,4.2,
2025-12-31,ATM-011,Tema Harbour,Greater Accra,BR008,78,2334,10,2000,3949,1106619.88,1102924.98,9.7,
2025-12-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,41,2200,20,3000,4348,1451797.53,1431955.77,2.8,
2025-12-31,ATM-013,Kaneshie Market,Greater Accra,BR010,110,4661,10,3000,8970,3519811.05,3484339.32,7.0,
2025-12-31,ATM-014,Dansoman,Greater Accra,BR011,112,2266,20,2000,4774,2270815.04,2259075.06,2.9,
2025-12-31,ATM-015,Weija,Greater Accra,BR012,55,962,20,1000,1580,536201.70,528809.47,5.7,
2025-12-31,ATM-016,Kasoa,Central,BR013,51,1907,20,2000,4314,1408313.16,1405813.40,7.2,
2025-12-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,75,2150,20,2000,4816,1552618.41,1549318.47,0.8,
2025-12-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,149,4616,20,5000,7980,2608670.08,2595192.52,1.0,
