# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — INCOME/EXPENSE general-ledger balances as at 2026-05-31: fiscal-year-to-date (calendar fiscal year, trial-balance convention), cedis; FX-business accounts carry currency=USD with the balance already in cedi equivalent. Push with scripts/ingest_push.py --entity gl_account=<this file> --as-of 2026-05-31. Realistic, not real: sized to the bank's balance sheet (docs/data_engine/datasets/gl_mapping_bsd7.md).
source_reference,account_code,name,account_class,currency,balance
4101,4101,Interest Income - Retail Loans,INCOME,GHS,38872258.44
4102,4102,Interest Income - SME Loans,INCOME,GHS,47625511.82
4103,4103,Interest Income - Corporate Loans,INCOME,GHS,57434259.05
4104,4104,Interest Income - Overdrafts,INCOME,GHS,15603533.99
4105,4105,Interest Income - Residential Mortgages,INCOME,GHS,8525055.09
4106,4106,Interest Income - Agricultural Loans,INCOME,GHS,5892529.84
4107,4107,Interest Income - Foreign Currency Loans,INCOME,USD,16870081.27
4109,4109,Interest in Suspense - Non-performing Loans (contra),INCOME,GHS,2516185.09
4201,4201,Discount Income - Government of Ghana Treasury Bills,INCOME,GHS,35367418.10
4202,4202,Discount Income - Bank of Ghana Bills,INCOME,GHS,38819398.61
4301,4301,Interest Income - Government of Ghana Bonds,INCOME,GHS,33771857.22
4302,4302,Interest Income - Interbank Placements,INCOME,GHS,8639329.55
4303,4303,Interest Income - Foreign Currency Placements,INCOME,USD,1567523.09
4304,4304,Interest Income - Reverse Repos with Bank of Ghana,INCOME,GHS,965595.77
4401,4401,Foreign Exchange Trading Income,INCOME,USD,15321005.50
4402,4402,Foreign Exchange Revaluation Gains,INCOME,USD,3823575.55
4501,4501,Loan Processing and Commitment Fees,INCOME,GHS,9107632.44
4502,4502,Trade Finance Commissions - LCs and Guarantees,INCOME,USD,9694189.48
4503,4503,Account Maintenance and Transaction Fees,INCOME,GHS,7658866.31
4504,4504,Card and Digital Channel Commissions,INCOME,GHS,6639872.26
4505,4505,Remittance and Transfer Commissions,INCOME,USD,2733407.23
4601,4601,Dividend Income - Equity Investments,INCOME,GHS,1837462.29
4701,4701,Gain/Loss on Disposal of Property and Equipment,INCOME,GHS,170631.55
4702,4702,Rent Receivable - Investment Property,INCOME,GHS,487705.09
4703,4703,Gains on Trading Securities,INCOME,GHS,1867772.03
4801,4801,Other Operating Income - Recoveries and Sundry,INCOME,GHS,3002999.31
5101,5101,Interest Expense - Savings Deposits,EXPENSE,GHS,27329013.14
5102,5102,Interest Expense - Current Accounts,EXPENSE,GHS,5832791.13
5103,5103,Interest Expense - Time Deposits - Retail,EXPENSE,GHS,38676818.26
5104,5104,Interest Expense - Time Deposits - Corporate and Institutional,EXPENSE,GHS,63781322.64
5105,5105,Interest Expense - Foreign Currency Time Deposits,EXPENSE,USD,3883593.21
5106,5106,Interest Expense - Interbank Borrowings,EXPENSE,GHS,9931124.07
5107,5107,Interest Expense - Foreign Currency Borrowings,EXPENSE,USD,2192414.13
5108,5108,Interest Expense - Subordinated Debt,EXPENSE,GHS,8534499.61
5109,5109,Interest Expense - Repos and BoG Facilities,EXPENSE,GHS,1300812.66
5201,5201,Staff Salaries and Wages,EXPENSE,GHS,47442464.90
5202,5202,Staff Training and Development,EXPENSE,GHS,1687689.35
5203,5203,Directors Emoluments and Fees,EXPENSE,GHS,1446922.65
5204,5204,"Other Staff Costs - Pensions, Medical and Allowances",EXPENSE,GHS,13678838.97
5301,5301,"Occupancy - Rent, Utilities and Premises Maintenance",EXPENSE,GHS,10684883.66
5302,5302,Travel and Transport,EXPENSE,GHS,2736973.23
5303,5303,Administrative and General Expenses,EXPENSE,GHS,8442316.63
5304,5304,"IT, Software and Communications",EXPENSE,GHS,11452021.04
5305,5305,Marketing and Business Promotion,EXPENSE,GHS,3939133.66
5306,5306,"Audit, Legal and Professional Fees",EXPENSE,GHS,2172847.78
5307,5307,Deposit Protection Premium and Regulatory Levies,EXPENSE,GHS,4675356.16
5308,5308,Correspondent Banking and Card Scheme Charges,EXPENSE,USD,2907850.21
5401,5401,Depreciation and Amortisation,EXPENSE,GHS,9108080.51
5402,5402,Impairment Charge - Loans and Advances,EXPENSE,GHS,18783448.46
5403,5403,Impairment Charge - Investments and Other Assets,EXPENSE,GHS,1531843.32
5501,5501,Losses on Sale of Investment Securities,EXPENSE,GHS,545984.34
5502,5502,Losses on Dealing Assets,EXPENSE,GHS,897458.83
5503,5503,Foreign Exchange Losses,EXPENSE,USD,1740256.78
5601,5601,Corporate Income Tax Charge,EXPENSE,GHS,9384860.58
5602,5602,Financial Sector Recovery Levy,EXPENSE,GHS,1879117.26
5701,5701,Extraordinary Items,EXPENSE,GHS,0.00
5801,5801,Dividends Paid and Payable,EXPENSE,GHS,0.00
