# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — LOAN book re-push as at 2026-06-30 adding the BoG prudential-return attributes (docs/API_INTEGRATION.md §3.4): sector (BSD4 taxonomy), ownership, facility_type, bog_classification + days_past_due, interest_in_suspense_ghs, ecl_provision_ghs. Every typed field and pre-existing attribute of the current generation is resent because a re-push supersedes the snapshot whole. Push with: uv run python scripts/ingest_push.py --entity position=onboarding/sample_bank/loans_attributes_repush.csv --as-of 2026-06-30 ...
source_reference,position_type,currency,balance,notional,counterparty_reference,product_code,gl_account_code,origination_date,contractual_maturity,next_repricing_date,interest_rate,rate_type,rate_index,rate_spread,ifrs9_stage,attributes.balance_ghs,attributes.branch_id,attributes.months_on_book,attributes.scheduled_principal_ghs,attributes.interest_accrued_ghs,attributes.sector,attributes.ownership,attributes.facility_type,attributes.bog_classification,attributes.days_past_due,attributes.interest_in_suspense_ghs,attributes.ecl_provision_ghs
AA.ARRANGEMENT/1006004,LOAN,GHS,23802.78,229257.01,SBL-CUST-006046,LN.RET.MORT,1302,2008-11-22,2027-01-17,2026-08-20,0.2178,FLOATING,BOG_MPR,0.06,1,23802.78,BR-005,119,4509.02,513.86,commerce.mortgage_financing,,scheduled,current,0,,119.01
AA.ARRANGEMENT/1006027,LOAN,GHS,420301.5,624555.92,SBL-CUST-002428,LN.RET.MORT,1302,2012-11-27,2031-01-22,2026-09-15,0.2159,FLOATING,BOG_MPR,0.06,1,420301.5,BR-002,119,4525.6,7827.44,commerce.mortgage_financing,,scheduled,current,29,,2101.51
AA.ARRANGEMENT/1006034,LOAN,GHS,142920.84,204593.03,SBL-CUST-001346,LN.RET.MORT,1302,2012-05-07,2031-05-28,2026-08-22,0.2178,FLOATING,BOG_MPR,0.06,1,142920.84,BR-009,119,1385.82,2619.17,commerce.mortgage_financing,,scheduled,current,0,,714.60
AA.ARRANGEMENT/1006040,LOAN,GHS,86725.94,98725.87,SBL-CUST-006445,LN.RET.MORT,1302,2015-10-18,2035-04-06,2026-08-21,0.2178,FLOATING,BOG_MPR,0.06,1,86725.94,BR-008,119,275.56,1579.08,commerce.mortgage_financing,,scheduled,current,18,,433.63
AA.ARRANGEMENT/1006066,LOAN,GHS,66313.69,106116.71,SBL-CUST-001208,LN.RET.MORT,1302,2013-05-02,2030-07-02,2026-08-22,0.2178,FLOATING,BOG_MPR,0.06,1,66313.69,BR-008,119,889.55,1219.74,commerce.mortgage_financing,,scheduled,current,0,,331.57
AA.ARRANGEMENT/1006071,LOAN,GHS,93915.46,125270.86,SBL-CUST-011801,LN.RET.MORT,1302,2014-12-08,2032-03-08,2026-07-08,0.218,FLOATING,BOG_MPR,0.06,3,93915.46,BR-012,119,697.74,1718.81,commerce.mortgage_financing,,scheduled,loss,462,20866.21,93915.46
AA.ARRANGEMENT/1006072,LOAN,GHS,99679.65,555148.21,SBL-CUST-001558,LN.RET.MORT,1302,2015-09-20,2027-05-20,2026-07-24,0.218,FLOATING,BOG_MPR,0.06,1,99679.65,BR-005,119,10111.15,1994.53,commerce.mortgage_financing,,scheduled,current,0,,498.40
AA.ARRANGEMENT/1006099,LOAN,GHS,95053.85,129169,SBL-CUST-000632,LN.RET.MORT,1302,2013-05-16,2031-12-08,2026-09-05,0.2159,FLOATING,BOG_MPR,0.06,1,95053.85,BR-003,119,755.46,1765.29,commerce.mortgage_financing,,scheduled,current,0,,475.27
AA.ARRANGEMENT/1009769,LOAN,GHS,240211.13,393306.7,SBL-CUST-002175,LN.RET.MORT,1302,2014-07-26,2030-05-03,2026-08-22,0.2178,FLOATING,BOG_MPR,0.06,1,240211.13,BR-004,117,3434.98,4422.18,commerce.mortgage_financing,,scheduled,current,0,,1201.06
AA.ARRANGEMENT/1014465,LOAN,GHS,36128.66,294012.52,SBL-CUST-008637,LN.RET.MORT,1302,2014-05-16,2027-02-07,2026-09-10,0.2159,FLOATING,BOG_MPR,0.06,1,36128.66,BR-001,113,5645.96,769.7,commerce.mortgage_financing,,scheduled,current,0,,180.64
AA.ARRANGEMENT/1019296,LOAN,GHS,189779.19,310130.83,SBL-CUST-006760,LN.RET.MORT,1302,2015-03-31,2030-04-11,2026-07-31,0.2178,FLOATING,BOG_MPR,0.06,1,189779.19,BR-009,109,2713.81,3493.75,commerce.mortgage_financing,,scheduled,current,0,,948.90
AA.ARRANGEMENT/1021732,LOAN,GHS,216123.24,569258.59,SBL-CUST-002402,LN.RET.MORT,1302,2009-09-09,2028-06-01,2026-09-10,0.2159,FLOATING,BOG_MPR,0.06,1,216123.24,BR-005,107,7910.16,4127.82,commerce.mortgage_financing,,scheduled,current,0,,1080.62
AA.ARRANGEMENT/1022904,LOAN,GHS,111508.36,125933.45,SBL-CUST-011241,LN.RET.MORT,1302,2015-12-24,2035-05-13,2026-07-29,0.218,FLOATING,BOG_MPR,0.06,1,111508.36,BR-004,106,346.49,2032.03,commerce.mortgage_financing,,scheduled,current,0,,557.54
AA.ARRANGEMENT/1025472,LOAN,GHS,226375.63,325586.49,SBL-CUST-007289,LN.RET.MORT,1302,2017-04-03,2031-03-21,2026-08-14,0.2178,FLOATING,BOG_MPR,0.06,1,226375.63,BR-002,104,2321.69,4150.86,commerce.mortgage_financing,,scheduled,current,0,,1131.88
AA.ARRANGEMENT/1025475,LOAN,GHS,649392.3,825643.73,SBL-CUST-001464,LN.RET.MORT,1302,2013-05-02,2032-09-19,2026-08-22,0.2178,FLOATING,BOG_MPR,0.06,1,649392.3,BR-009,104,4156.62,11861.91,commerce.mortgage_financing,,scheduled,current,0,,3246.96
