# Sample Bank onboarding dataset — remittance_flows, reporting month 2026-04 (push with as_of_date=2026-04-30).
month,direction,corridor_country,region,recipient_class,channel,currency,amount_fx,amount_usd,amount_ghs,transaction_count,operator_name,notes
2026-04-30,inbound,US,usa_canada,individual,mto,USD,1812083.84,1812083.84,20023526.45,5970,Western Union,
2026-04-30,inbound,US,usa_canada,individual,mobile_money,USD,823674.47,823674.47,9101602.93,2818,MTN MoMo interop,
2026-04-30,inbound,US,usa_canada,individual,bank,USD,593045.62,593045.62,6553154.11,2119,SWIFT MT103,
2026-04-30,inbound,US,usa_canada,individual,other,USD,65893.96,65893.96,728128.23,168,Correspondent cheque,
2026-04-30,inbound,US,usa_canada,exporter,bank,USD,357816.64,357816.64,3953873.83,11,SWIFT MT103,
2026-04-30,inbound,US,usa_canada,service_provider,bank,USD,178647.18,178647.18,1974051.31,31,SWIFT MT103,
2026-04-30,inbound,US,usa_canada,service_provider,mto,USD,31525.97,31525.97,348362.00,5,Western Union,
2026-04-30,inbound,US,usa_canada,ngo,bank,USD,205926.14,205926.14,2275483.88,12,SWIFT MT103,
2026-04-30,inbound,US,usa_canada,embassy,bank,USD,33955.56,33955.56,375208.99,1,SWIFT MT103,
2026-04-30,inbound,US,usa_canada,other,bank,USD,55776.47,55776.47,616330.03,13,SWIFT MT103,
2026-04-30,inbound,US,usa_canada,other,mto,USD,37184.32,37184.32,410886.68,10,WorldRemit,
2026-04-30,inbound,GB,uk,individual,mto,GBP,851200.01,1081024.01,11945315.29,4038,WorldRemit,
2026-04-30,inbound,GB,uk,individual,mobile_money,GBP,386909.09,491374.55,5429688.77,1344,MTN MoMo interop,
2026-04-30,inbound,GB,uk,individual,bank,GBP,278574.55,353789.68,3909375.91,1145,SWIFT MT103,
2026-04-30,inbound,GB,uk,individual,other,GBP,30952.73,39309.96,434375.10,118,Correspondent cheque,
2026-04-30,inbound,GB,uk,exporter,bank,GBP,185313.90,235348.65,2600602.62,10,SWIFT MT103,
2026-04-30,inbound,GB,uk,service_provider,bank,GBP,97853.35,124273.75,1373224.94,20,SWIFT MT103,
2026-04-30,inbound,GB,uk,service_provider,mto,GBP,17268.24,21930.66,242333.81,3,Taptap Send,
2026-04-30,inbound,GB,uk,ngo,bank,GBP,96462.91,122507.89,1353712.23,9,SWIFT MT103,
2026-04-30,inbound,GB,uk,embassy,bank,GBP,21026.30,26703.40,295072.60,1,SWIFT MT103,
2026-04-30,inbound,GB,uk,other,bank,GBP,27689.44,35165.58,388579.69,9,SWIFT MT103,
2026-04-30,inbound,GB,uk,other,mto,GBP,18459.62,23443.72,259053.13,5,Ria,
2026-04-30,inbound,CA,usa_canada,individual,mto,CAD,295140.73,215452.73,2380752.71,680,Remitly,
2026-04-30,inbound,CA,usa_canada,individual,mobile_money,CAD,134154.88,97933.06,1082160.32,328,Telecel Cash interop,
2026-04-30,inbound,CA,usa_canada,individual,bank,CAD,96591.51,70511.80,779155.43,180,SWIFT MT103,
2026-04-30,inbound,CA,usa_canada,individual,other,CAD,10732.39,7834.64,86572.83,25,Correspondent cheque,
2026-04-30,inbound,CA,usa_canada,exporter,bank,CAD,58236.84,42512.89,469767.49,1,SWIFT MT103,
2026-04-30,inbound,CA,usa_canada,service_provider,bank,CAD,38366.34,28007.43,309482.11,3,SWIFT MT103,
2026-04-30,inbound,CA,usa_canada,service_provider,mto,CAD,6770.53,4942.49,54614.49,1,WorldRemit,
2026-04-30,inbound,CA,usa_canada,ngo,bank,CAD,28684.06,20939.36,231379.97,1,SWIFT MT103,
2026-04-30,inbound,CA,usa_canada,other,bank,CAD,9271.83,6768.43,74791.20,1,SWIFT MT103,
2026-04-30,inbound,CA,usa_canada,other,mto,CAD,6181.22,4512.29,49860.80,1,WorldRemit,
2026-04-30,inbound,DE,eu,individual,mto,EUR,296284.90,322950.55,3568603.53,1118,WorldRemit,
2026-04-30,inbound,DE,eu,individual,mobile_money,EUR,134674.96,146795.70,1622092.51,504,MTN MoMo interop,
2026-04-30,inbound,DE,eu,individual,bank,EUR,96965.97,105692.91,1167906.61,391,SWIFT MT103,
2026-04-30,inbound,DE,eu,individual,other,EUR,10774.00,11743.66,129767.40,39,Correspondent cheque,
2026-04-30,inbound,DE,eu,exporter,bank,EUR,62690.21,68332.33,755072.24,2,SWIFT MT103,
2026-04-30,inbound,DE,eu,service_provider,bank,EUR,36428.92,39707.52,438768.14,7,SWIFT MT103,
2026-04-30,inbound,DE,eu,service_provider,mto,EUR,6428.63,7007.21,77429.67,1,Western Union,
