# Sample Bank onboarding dataset — tariff_schedule (docs/data_engine/datasets/tariff_schedule.md).
# One row per official BSD15A / BSD15B tariff cell (form, sheet, row_key); charge_value is what the
# bank prints in that cell: text on DOMESTIC / INTL, a cedi amount on RANGE. Illustrative 2026 tariff-guide
# values for a Ghanaian universal bank; effective 2026-01-01. Not real bank data.
form,sheet,row_key,label,charge_value,charge_basis,min_ghs,max_ghs,currency,effective_from,notes
BSD15A,DOMESTIC,1.1,minimum,GHS 5.00 per month,flat,5,5,GHS,2026-01-01,
BSD15A,DOMESTIC,1.2,maximum,GHS 500.00 per month,flat,500,500,GHS,2026-01-01,
BSD15A,DOMESTIC,1.3,Ledger Fees,GHS 10.00 per month (current accounts),flat,5,50,GHS,2026-01-01,"COT: GHS 1.00 per GHS 1,000 debit turnover"
BSD15A,DOMESTIC,1.4,minimum,GHS 5.00 per month,flat,5,5,GHS,2026-01-01,
BSD15A,DOMESTIC,1.5,maximum,GHS 50.00 per month,flat,50,50,GHS,2026-01-01,
BSD15A,DOMESTIC,2.1,"Above ¢2,000,000",Free (savings accounts are not charged maintenance),flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,2.2,"BT ¢1,000,000 - ¢2,000,000",Free,flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,2.3,"BT ¢500,000 - ¢1,000,000",Free,flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,2.4,"Bt ¢200,000.00 - ¢500,000.00",Free,flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,2.5,"Below ¢200,000.00",Free,flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,2.6,SME's,GHS 10.00 per month (SME savings),flat,10,10,GHS,2026-01-01,
BSD15A,DOMESTIC,2.7,MIA's,Free (MFI / association savings),flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,3.1,Bank's customers,"0.50% of value, min GHS 30, max GHS 250",percent,30,250,GHS,2026-01-01,
BSD15A,DOMESTIC,3.2,Minimum,GHS 30.00,flat,30,,GHS,2026-01-01,
BSD15A,DOMESTIC,3.3,Maximum,GHS 250.00,flat,,250,GHS,2026-01-01,
BSD15A,DOMESTIC,3.4,Non customers,"1.00% of value, min GHS 50, max GHS 400",percent,50,400,GHS,2026-01-01,
BSD15A,DOMESTIC,3.5,Minimum,GHS 50.00,flat,50,,GHS,2026-01-01,
BSD15A,DOMESTIC,3.6,Maximum,GHS 400.00,flat,,400,GHS,2026-01-01,
BSD15A,DOMESTIC,3.7,Cancelation of draft,GHS 30.00 per draft,flat,30,30,GHS,2026-01-01,
BSD15A,DOMESTIC,4.1,Minimum,GHS 60.00 per cheque,flat,60,60,GHS,2026-01-01,
BSD15A,DOMESTIC,4.2,Maximum,GHS 200.00 per cheque,flat,200,200,GHS,2026-01-01,
BSD15A,DOMESTIC,5.1,Minimum,GHS 30.00 per cheque,flat,30,30,GHS,2026-01-01,
BSD15A,DOMESTIC,5.2,Maximum,GHS 60.00 per cheque,flat,60,60,GHS,2026-01-01,
BSD15A,DOMESTIC,5.3,Refer to Drawer,GHS 50.00 per cheque,flat,50,50,GHS,2026-01-01,
BSD15A,DOMESTIC,5.4,Returned uncleared effect (insufficient funds),GHS 30.00 per item,flat,30,30,GHS,2026-01-01,
BSD15A,DOMESTIC,5.5,Returned uncleared effect (other reasons),GHS 20.00 per item,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,6.1,Telegraphic Transfers,Per transfer — see rates below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.2,Customers,"0.25% of value, min GHS 30, max GHS 250",percent,30,250,GHS,2026-01-01,
BSD15A,DOMESTIC,6.3,Minimum,GHS 30.00,flat,30,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.4,Maximum,GHS 250.00,flat,,250,GHS,2026-01-01,
BSD15A,DOMESTIC,6.5,Non Customers,"0.50% of value, min GHS 50, max GHS 400",percent,50,400,GHS,2026-01-01,
BSD15A,DOMESTIC,6.6,Minimum,GHS 50.00,flat,50,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.7,Maximum,GHS 400.00,flat,,400,GHS,2026-01-01,
BSD15A,DOMESTIC,6.8,Cable,Per transfer — see rates below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.9,Minimum,"0.25% of value, min GHS 30, max GHS 250",percent,30,250,GHS,2026-01-01,
BSD15A,DOMESTIC,6.10,Maximum,GHS 250.00,flat,,250,GHS,2026-01-01,
BSD15A,DOMESTIC,6.11,Non customers,"0.50% of value, min GHS 50, max GHS 400",percent,50,400,GHS,2026-01-01,
BSD15A,DOMESTIC,6.12,Minimum,GHS 50.00,flat,50,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.13,Maximum,GHS 400.00,flat,,400,GHS,2026-01-01,
BSD15A,DOMESTIC,6.14,Mail Transfer,Per transfer — see rates below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.15,Customer,"0.20% of value, min GHS 20, max GHS 150",percent,20,150,GHS,2026-01-01,
BSD15A,DOMESTIC,6.16,Minimum,GHS 20.00,flat,20,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.17,Maximum,GHS 150.00,flat,,150,GHS,2026-01-01,
